batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,naive,2,0.932,,,,0.0,,50.0,0.9
0,naive,2,0.9232,1.0,0.8828125,,0.02259856998577224,0.031549831852316856,50.0,0.9
1,naive,2,0.9059,0.9910314083099365,0.87109375,,0.01788941794938053,0.019909136812202632,50.0,0.9
2,naive,2,0.9012,0.9508196711540222,0.71484375,,0.013198724461140517,0.05664758260051409,50.0,0.9
3,naive,2,0.8822,0.9519230723381042,0.8125,,0.01934931830210989,0.06260784808546305,50.0,0.9
4,naive,2,0.8971,0.9768785834312439,0.67578125,,0.015629421578044634,0.03907213732600212,50.0,0.9
5,naive,2,0.9081,0.9695431590080261,0.76953125,,0.023077585972055958,0.027038089581765234,50.0,0.9
6,naive,2,0.902,0.9807692170143127,0.8125,,0.01666042476047341,0.03622010862454772,50.0,0.9
7,naive,2,0.8934,0.9905660152435303,0.828125,,0.019994179602728195,0.03230668697506189,50.0,0.9
8,naive,2,0.8916,0.915032684803009,0.59765625,,0.016136860725891662,0.07307613144318263,50.0,0.9
9,naive,2,0.8583,0.9481865167617798,0.75390625,,0.02422085409240363,0.043924809971940704,50.0,0.9
10,naive,2,0.8489,0.9512194991111755,0.80078125,,0.022339231075809585,0.051428350154310465,50.0,0.9
11,naive,2,0.8481,0.9552238583564758,0.78515625,,0.019763820607972753,0.03478630888275802,50.0,0.9
12,naive,2,0.8608,0.9285714030265808,0.765625,,0.019422082072371314,0.04456244772882201,50.0,0.9
13,naive,2,0.8664,0.8522727489471436,0.6875,,0.016376392490278818,0.0816442258656025,50.0,0.9
14,naive,2,0.8712,0.939393937587738,0.7734375,,0.018444775699001,0.03364044474437833,50.0,0.9
15,naive,2,0.8506,0.9495412707328796,0.8515625,,0.018048287652369883,0.023278826847672462,50.0,0.9
16,naive,2,0.8566,0.9253731369972229,0.78515625,,0.01984878181486392,0.04200009140186012,50.0,0.9
17,naive,2,0.8368,0.8673469424247742,0.765625,,0.02295378940899749,0.053291728254407644,50.0,0.9
18,naive,2,0.8438,0.8888888955116272,0.73828125,,0.017049831365734687,0.02814421399186055,50.0,0.9
19,naive,2,0.8497,0.9082568883895874,0.8515625,,0.01897231438320589,0.06734051275998354,50.0,0.9
